day,P1_tasks,P2_tasks,P3_tasks,total_tasks,P1_work,P2_work,P3_work,total_work,P1_mean_work,P2_mean_work,P3_mean_work
23,988,958,9711,11657,9636.143333333333,205859.82000000007,3018332.121888889,3233828.0852222224,100.37649305555556,2166.945473684211,31440.95960300926
24,796,944,8258,9998,5404.615000000001,93516.1083333333,2312224.989,2411145.712333333,56.298072916666676,984.3800877192975,24085.676968750002
25,1064,985,9644,11693,7484.992222222221,137112.90140000003,2147260.8550000004,2291858.7486222223,77.96866898148147,1474.33227311828,22367.300572916673
26,1474,1074,12335,14883,12384.509444444444,112016.7705555555,3010939.759555555,3135341.039555555,129.00530671296295,1166.8413599537032,31363.955828703696
27,1230,944,11460,13634,14729.515,453905.42559999996,3131058.0773333334,3599693.0179333333,153.43244791666666,4728.1815166666665,32615.188305555555
28,1177,966,10855,12998,12390.158333333333,194030.95944444442,2388902.2106666667,2595323.3284444446,129.06414930555556,2064.1591430260046,24884.398027777777
29,1144,932,11145,13221,8132.376666666666,30012.858888888884,2994179.154777778,3032324.3903333335,84.71225694444443,319.2857328605201,31189.36619560185
30,1070,1529,11438,14037,4759.7011111111115,86630.43666666668,3534148.090944444,3625538.2287222217,49.58021990740741,902.4003819444446,36814.042614004626
31,917,1036,8945,10898,9966.492222222223,46324.95333333334,1934584.4461111114,1990875.8916666666,103.81762731481483,482.55159722222226,20151.92131365741
32,909,1130,10886,12925,18437.844444444443,64931.8611111111,2175376.5586222224,2258746.264177778,192.06087962962962,683.493274853801,22660.17248564815
33,1870,1118,14240,17228,10423.355555555556,12745.575577777778,2571245.5073333327,2594414.4384666663,108.57662037037038,132.7664122685185,26783.80736805555
34,3578,911,13752,18241,23437.69388888889,44090.88777777777,3162864.9016888887,3230393.4833555548,244.14264467592594,464.11460818713425,32946.50939259259
35,1909,1222,12709,15840,23285.143888888895,83250.09807777777,4134980.2527000005,4241515.494666667,242.55358217592598,876.3168218713452,43072.710965625
36,2231,1020,11458,14709,17698.28222222222,61821.7255111111,3600191.1359222224,3679711.1436555553,188.27959810874702,657.677930969267,37501.99099918982
37,1139,1003,10101,12243,14714.963333333331,189277.45504444442,2357479.7202222226,2561472.1386,158.2254121863799,2035.2414520908012,24557.080418981484
38,705,691,9385,10781,10052.801111111112,45839.476111111115,2168386.8909555557,2224279.168177778,105.81895906432749,477.49454282407413,22587.363447453707
39,902,814,9433,11149,9307.20888888889,7566.4809444444445,2220833.978138889,2237707.6679722224,97.97061988304095,78.81750983796296,23133.687272280094
40,1528,1039,11777,14344,12441.754444444447,105668.5836,3637506.5990222218,3755616.9370666663,130.96583625730995,1148.571560869565,37890.69373981481
41,1435,1114,11985,14534,16101.621111111106,90832.97583333333,3204186.0315333335,3311120.6284777774,167.72521990740736,946.1768315972222,33376.937828472226
42,1167,1050,12413,14630,8576.528888888886,72476.92895555557,4065679.432533333,4146732.890377777,89.33884259259257,754.9680099537039,42350.82742222222
43,1203,937,11207,13347,15850.206666666665,47694.21222222222,2470808.0276166666,2534352.4465055554,165.10631944444444,502.04433918128655,25737.583621006943
44,1282,859,10881,13022,14369.325,65815.1388888889,2738001.8018444446,2818186.2657333333,151.2560526315789,707.6896654719237,28520.852102546298
45,1020,786,9544,11350,12925.348888888888,65262.56844444445,1972686.8762222223,2050874.7935555559,134.63905092592591,686.9744046783626,20548.821627314817
46,1333,873,11101,13307,7598.182777777779,54234.45,2299610.563133333,2361443.1959111113,79.14773726851853,564.9421874999999,23954.276699305552
47,2609,978,13576,17163,28594.04666666667,112946.6641111111,3591373.818422222,3732914.5291999998,297.8546527777778,1201.560256501182,37410.143941898146
48,2875,934,13660,17469,27376.673333333332,43242.69693333331,4263530.801,4334150.171266667,285.17368055555556,455.1862835087717,44411.779177083336
49,4329,1021,13698,19048,91687.86555555556,74886.35533333334,4290911.129044444,4457485.349933333,955.0819328703705,780.066201388889,44696.99092754629
50,2994,881,15571,19446,146661.52666666667,83721.42416666666,3846630.571888889,4077013.5227222214,1629.5725185185186,881.2781491228073,40069.06845717593
51,1455,910,13022,15387,62808.260555555564,15713.11142222222,2835540.2532,2914061.6251777783,654.2527141203705,167.16075981087474,29536.8776375
52,1078,798,10298,12174,40728.15555555555,109436.4451333333,3029760.895577778,3179925.496266667,424.25162037037035,1151.9625803508768,31560.00932893519
53,1043,970,12508,14521,18513.477222222227,61008.69342222223,2517430.2589999996,2596952.4296444445,196.95188534278972,635.5072231481482,26223.23186458333
54,1649,1087,14730,17466,35789.40000000001,154250.16605555557,3268177.336444445,3458216.9025,372.8062500000001,1606.7725630787038,34043.513921296304
55,3428,998,14710,19136,41335.915,66763.498,3613778.6821555556,3721878.0951555558,430.5824479166667,695.4531041666668,37643.52793912037
56,2590,1363,14602,18555,40188.033333333355,124414.27366666668,3161060.5324,3325662.8394,418.62534722222244,1309.6239333333335,32927.713879166666
57,2377,1248,13226,16851,54097.63222222223,16762.32528888889,3846311.7724444447,3917171.729955556,563.5170023148149,174.6075550925926,40065.74762962963
58,1455,835,11780,14070,32941.53166666668,15385.259511111113,4659492.518111111,4707819.309288889,346.7529649122809,161.95010011695908,48536.38039699074
59,1117,918,11091,13126,32096.053888888902,61073.23500000002,2283790.342333333,2376959.631222222,337.8531988304095,642.8761578947372,23789.482732638888
60,1164,897,13836,15897,32059.312777777785,53629.07708888888,2821196.2951111114,2906884.6849777782,337.4664502923977,558.6362196759259,29387.46140740741
61,1802,1051,15616,18469,38118.25900000002,137191.37724444445,4497144.064844444,4672453.701088888,397.0651979166669,1429.0768462962963,46845.250675462965
62,2263,1068,14268,17599,39713.41666666667,65662.32833333335,2267461.0478,2372836.7928,413.68142361111114,683.9825868055558,23619.38591458333
63,2293,1086,15591,18970,62577.46444444446,97796.47948888889,2689652.916577778,2850026.860511111,665.7177068557921,1029.4366261988307,28017.217881018518
64,2219,926,13200,16345,54663.54444444446,58685.93053333335,2638861.251822222,2752210.7268,575.4057309941522,611.311776388889,27488.138039814814
65,761,701,12917,14379,5788.650555555556,11469.908166666668,2585343.893777778,2602602.4525,60.29844328703704,124.67291485507248,26930.665560185185
66,944,742,11892,13578,43334.222222222204,92197.96894444444,1871137.5311111112,2006669.722277778,451.398148148148,991.3760101553166,19491.015949074073
67,957,771,13072,14800,22558.802222222228,10875.803777777779,1302908.7951111111,1336343.401111111,234.9875231481482,115.70004018912529,13571.966615740741
