method,day_index,total_objective_cost,electricity_cost,qos_cost,switching_cost,total_energy_kwh,peak_power_kw,average_power_kw,average_active_servers,average_utilization,P1_sla_violation_rate,P2_sla_violation_rate,P3_sla_violation_rate,P1_violation_count,P2_violation_count,P3_violation_count,P1_sla_cost,P2_sla_cost,P3_sla_cost,P1_avg_delay,P2_avg_delay,P3_avg_delay,P1_completed,P2_completed,P3_completed,num_eval_days,start_day_index,end_day_index,random_seed
queue_greedy,1178,319.2825603318094,264.88256033180943,0.0,54.4,496.0982275994044,34.614000000000004,20.67075948330852,17.489583333333332,0.99590673386404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1742243436754176,3.126086956521739,390.0,419.0,230.0,267,1064,1330,2024
queue_greedy,1179,340.22118852837605,275.82118852837607,0.0,64.39999999999999,511.0477375886752,37.449,21.293655732861467,18.510416666666668,0.9998118191721591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0905077262693157,3.2295081967213113,384.0,453.0,244.0,267,1064,1330,2024
queue_greedy,1180,325.8624423370066,265.46244233700656,0.0,60.39999999999999,492.0764604281456,34.614000000000004,20.503185851172734,17.114583333333332,0.9998497526720849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.138702460850112,3.371559633027523,411.0,447.0,218.0,267,1064,1330,2024
queue_greedy,1181,321.1878126111111,265.78781261111106,0.0,55.400000000000006,495.9149534722221,34.614000000000004,20.66312306134259,17.416666666666668,0.9974408795551314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1685912240184757,3.1826086956521737,386.0,433.0,230.0,267,1064,1330,2024
queue_greedy,1182,338.8547298668344,277.55472986683446,0.0,61.3,518.5735855213577,40.851,21.60723273005657,19.104166666666668,0.9965137926681841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0787746170678336,3.2222222222222223,396.0,457.0,261.0,267,1064,1330,2024
queue_greedy,1183,317.61785574629715,261.1178557462971,0.0,56.5,495.0710882696786,34.614000000000004,20.627962011236608,17.416666666666668,0.9938719310938549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002439024390244,1.1207627118644068,3.4186046511627906,410.0,472.0,215.0,267,1064,1330,2024
queue_greedy,1184,337.6817108356508,270.28171083565076,0.0,67.39999999999999,502.12669792390864,37.449,20.921945746829525,17.864583333333332,0.9994976551030991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0045766590389016,1.1073825503355705,3.3422222222222224,437.0,447.0,225.0,267,1064,1330,2024
queue_greedy,1185,323.08851773911385,271.38851773911387,0.0,51.7,507.1137116847309,34.614000000000004,21.129737986863788,18.229166666666668,0.9993311780151641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0769230769230769,3.20746887966805,414.0,468.0,241.0,267,1064,1330,2024
queue_greedy,1186,343.85139498318097,278.25139498318094,0.0,65.6,515.0762343224403,34.614000000000004,21.461509763435014,18.84375,0.9979185015689546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0734341252699784,3.1915708812260535,382.0,463.0,261.0,267,1064,1330,2024
queue_greedy,1187,324.41742889826685,263.11742889826684,0.0,61.3,497.21786374458384,34.614000000000004,20.71741098935766,17.520833333333332,0.9978250870339371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1219512195121952,3.158333333333333,374.0,410.0,240.0,267,1064,1330,2024
queue_greedy,1188,328.068255,276.468255,0.0,51.6,517.32675,40.851,21.555281249999997,18.96875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.05720823798627,3.1254752851711025,398.0,437.0,263.0,267,1064,1330,2024
queue_greedy,1189,326.54426453570716,267.2442645357071,0.0,59.3,503.8772251115848,34.614000000000004,20.994884379649367,17.989583333333332,0.9993157140946334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0726392251815982,3.096774193548387,395.0,413.0,248.0,267,1064,1330,2024
queue_greedy,1190,330.5742506556363,265.1742506556363,0.0,65.39999999999999,495.1360020488635,39.150000000000006,20.630666752035978,17.520833333333332,0.9839338626327879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.162907268170426,3.1737288135593222,412.0,399.0,236.0,267,1064,1330,2024
queue_greedy,1191,345.90244887933244,279.1024488793324,0.0,66.8,516.3779704555786,40.851,21.515748768982444,18.96875,0.9866459828825097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1017316017316017,3.183673469387755,394.0,462.0,245.0,267,1064,1330,2024
queue_greedy,1192,318.45944202325063,264.85944202325055,0.0,53.6,488.61954538515806,31.212,20.359147724381586,16.885416666666668,0.9986279979858624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1592356687898089,3.4,415.0,471.0,200.0,267,1064,1330,2024
queue_greedy,1193,324.05852713504476,261.45852713504473,0.0,62.599999999999994,485.15449104701474,34.614000000000004,20.214770460292282,16.677083333333332,0.9882002237981397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1349397590361445,3.188073394495413,359.0,415.0,218.0,267,1064,1330,2024
queue_greedy,1194,324.59103409632485,262.8910340963248,0.0,61.699999999999996,495.1548956135151,39.15,20.631453983896463,17.40625,0.9942176309524687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1084656084656084,3.02,370.0,378.0,250.0,267,1064,1330,2024
queue_greedy,1195,314.997845,264.99784500000004,0.0,50.0,500.6002500000001,34.614000000000004,20.858343750000003,17.739583333333332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1069042316258353,3.296137339055794,373.0,449.0,233.0,267,1064,1330,2024
queue_greedy,1196,321.80346110288053,264.80346110288053,0.0,57.0,491.23973782150176,34.614000000000004,20.46832240922924,17.114583333333332,0.9939318614027418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0911111111111111,3.3073394495412844,380.0,450.0,218.0,267,1064,1330,2024
queue_greedy,1197,330.0139665576479,269.21396655764795,0.0,60.8,500.5220048676498,34.614,20.855083536152076,17.770833333333332,0.996963876996214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.188034188034188,4.1528662420382165,622.0,585.0,157.0,267,1064,1330,2024
queue_greedy,1198,338.1128049641869,277.5128049641869,0.0,60.6,509.62306238808424,37.449,21.234294266170178,18.416666666666668,0.9983459106993693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0024570024570025,1.1237721021611002,3.3733333333333335,407.0,509.0,225.0,267,1064,1330,2024
queue_greedy,1199,335.1822376242312,277.08223762423114,0.0,58.099999999999994,509.6153050757224,37.449,21.233971044821768,18.46875,0.9936183881742412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.074245939675174,3.1692913385826773,390.0,431.0,254.0,267,1064,1330,2024
queue_greedy,1200,316.08179915277026,262.8817991527702,0.0,53.2,490.89568485240704,34.614000000000004,20.453986868850293,17.0625,0.9927977778961035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.144963144963145,3.1,377.0,407.0,230.0,267,1064,1330,2024
queue_greedy,1201,331.27437814091195,268.07437814091196,0.0,63.2,498.44473637784995,31.638348932699163,20.768530682410415,17.697916666666668,0.9900239318797147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,1.1118721461187215,3.158590308370044,400.0,438.0,227.0,267,1064,1330,2024
queue_greedy,1202,328.26597293890217,271.16597293890214,0.0,57.099999999999994,513.8557044965693,37.449,21.41065435402372,18.802083333333332,0.9954232403406245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0950118764845607,3.0708955223880596,396.0,421.0,268.0,267,1064,1330,2024
queue_greedy,1203,335.2998246458693,265.0998246458693,0.0,70.19999999999999,495.90010045584165,37.449,20.66250418566007,17.510416666666668,0.9928760180687305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1175166297117516,3.2895927601809953,372.0,451.0,221.0,267,1064,1330,2024
queue_greedy,1204,340.61158118272004,274.21158118271995,0.0,66.39999999999999,511.22259744600007,39.150000000000006,21.300941560250003,18.625,0.9894106803319417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1628440366972477,3.115079365079365,391.0,436.0,252.0,267,1064,1330,2024
queue_greedy,1205,314.7461925,263.7461925,0.0,51.0,488.40975000000003,34.614,20.350406250000002,16.84375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2271944922547333,4.584615384615384,638.0,581.0,130.0,267,1064,1330,2024
queue_greedy,1206,326.07878750000003,271.2787875,0.0,54.8,507.12075000000004,34.614000000000004,21.130031250000002,18.21875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.227436823104693,3.9649122807017543,617.0,554.0,171.0,267,1064,1330,2024
queue_greedy,1207,309.31806402236094,266.3180640223609,0.0,43.0,491.3128406948779,34.614000000000004,20.47136836228658,17.114583333333332,0.996599746012358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1660958904109588,4.340136054421769,613.0,584.0,147.0,267,1064,1330,2024
queue_greedy,1208,324.02003445418853,268.6200344541885,0.0,55.4,500.6460373568392,34.614000000000004,20.860251556534966,17.770833333333332,0.9983932973188402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1857638888888888,4.053892215568863,622.0,576.0,167.0,267,1064,1330,2024
queue_greedy,1209,319.71215149514796,269.11215149514794,0.0,50.6,494.2591921723375,31.212,20.59413300718073,17.302083333333332,0.9985393401468748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.111310592459605,4.065868263473054,551.0,557.0,167.0,267,1064,1330,2024
queue_greedy,1210,332.02552213567867,270.02552213567867,0.0,62.0,503.3992019864958,34.614000000000004,20.974966749437325,17.947916666666668,0.9997875080504784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1905660377358491,3.770053475935829,533.0,530.0,187.0,267,1064,1330,2024
queue_greedy,1211,318.7609612554019,263.16096125540196,0.0,55.599999999999994,484.56539454813094,34.614000000000004,20.19022477283879,16.572916666666668,0.9990584838706685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.243144424131627,4.194630872483222,586.0,547.0,149.0,267,1064,1330,2024
queue_greedy,1212,345.01079991325935,271.21079991325934,0.0,73.80000000000001,501.44205441643544,40.851,20.893418934018143,17.802083333333332,0.9999675791150576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.119106699751861,3.128,382.0,403.0,250.0,267,1064,1330,2024
queue_greedy,1213,307.9765864388636,259.7765864388636,0.0,48.2,487.64626097932745,34.614000000000004,20.31859420747198,16.833333333333332,0.9936997687334456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1135802469135803,3.1894273127753303,383.0,405.0,227.0,267,1064,1330,2024
queue_greedy,1214,327.85437856490626,269.05437856490624,0.0,58.8,500.4630155725568,37.449,20.852625648856534,17.739583333333332,0.9980528037329145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0885416666666667,3.0775193798449614,357.0,384.0,258.0,267,1064,1330,2024
